question,ground_truth_answer,source_document,supporting_context,topic
Why do low levels of DC-SIGNR enhance Mother to Child Transmission of HIV-1?,"in placenta containing low levels of DC-SIGNR, HIV-1 would preferentially binds CCR5 on endothelial cells resulting in a loss of placental barrier integrity and enhanced passage of maternal HIV-1-infected cells in foetal circulation leading to MTCT of HIV-1",COVID-QA_MASTER,"Functional Genetic Variants in DC-SIGNR Are Associated with Mother-to-Child Transmission of HIV-1 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752805/ Boily-Larouche, Geneviève; Iscache, Anne-Laure; Zijenah, Lynn S.; Humphrey, Jean H.; Mouland, Andrew J.; Ward, Brian J.; Roger, Michel 2009-10-07 DOI:10.1371/journal.pone.0007211 License:cc-by Abstract: BACKGROUND: Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. Given that the C-type lectin receptor, dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or l",transmission
"What is the best way to counteract misinformation and rumors around COVID-19 that target disadvantaged communities—e.g., that African Americans are immune or INS will arrest immigrants who seek help?","One strategy we've used in Baltimore is building on our relationships with well-known members of the various communities, like community partners who have worked on providing services to individuals with HIV/AIDS or women in childbirth. We work closely with them to make sure we hear about what myths are circulating and then ask them to serve as messengers. Some high school students in Baltimore on a step team choreographed and filmed a socially-distanced dance routine that called on people in the African American community to wear masks outside and wash their hands. So we have to get creative when talking to different people in different groups, including immigrant populations, asking them what we think would resonate most. Testing should not be based on whether people have insurance or are documented. People need reassurance that if they do show up for care, they're not going to be turned in to the authorities or hit with a huge bill afterwards. (Dr. Lisa Cooper, 5/7/20)",COUGH_FAQ_BANK,"One strategy we've used in Baltimore is building on our relationships with well-known members of the various communities, like community partners who have worked on providing services to individuals with HIV/AIDS or women in childbirth. We work closely with them to make sure we hear about what myths are circulating and then ask them to serve as messengers. Some high school students in Baltimore on a step team choreographed and filmed a socially-distanced dance routine that called on people in the African American community to wear masks outside and wash their hands. So we have to get creative when talking to different people in different groups, including immigrant populations, asking them what we think would resonate most. Testing should not be based on whether people have insurance or are documented. People need reassurance that if they do show up for care, they're not going to be turned in to the authorities or hit with a huge bill afterwards. (Dr. Lisa Cooper, 5/7/20)",myths
What are the symptoms?,"Most people will have mild effects from the virus, but it can cause severe illness and pneumonia in others. Symptoms may appear 2-14 days after exposure to the virus. People with these symptoms may have COVID-19: Fever or chills Cough Shortness of breath or difficulty breathing Fatigue Muscle or body aches Headache New loss of taste or smell Sore throat Congestion or runny nose Nausea or vomiting Diarrhea This list does not include all possible symptoms. For the most up to date list of symptoms, please visit CDC Symptoms of Coronavirus.",COUGH_FAQ_BANK,"Most people will have mild effects from the virus, but it can cause severe illness and pneumonia in others. Symptoms may appear 2-14 days after exposure to the virus. People with these symptoms may have COVID-19: Fever or chills Cough Shortness of breath or difficulty breathing Fatigue Muscle or body aches Headache New loss of taste or smell Sore throat Congestion or runny nose Nausea or vomiting Diarrhea This list does not include all possible symptoms. For the most up to date list of symptoms, please visit CDC Symptoms of Coronavirus.",symptoms
What plays the crucial role in the Mother to Child Transmission of HIV-1 and what increases the risk,DC-SIGNR plays a crucial role in MTCT of HIV-1 and that impaired placental DC-SIGNR expression increases risk of transmission.,COVID-QA_MASTER,"Functional Genetic Variants in DC-SIGNR Are Associated with Mother-to-Child Transmission of HIV-1 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752805/ Boily-Larouche, Geneviève; Iscache, Anne-Laure; Zijenah, Lynn S.; Humphrey, Jean H.; Mouland, Andrew J.; Ward, Brian J.; Roger, Michel 2009-10-07 DOI:10.1371/journal.pone.0007211 License:cc-by Abstract: BACKGROUND: Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. Given that the C-type lectin receptor, dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or l",transmission
Should vaccination of HBV-exposed infants continue during the COVID-19 pandemic?,"Yes. Hepatitis B vaccination of all infants, especially those exposed to hepatitis B virus, should occur according to the Advisory Committee on Immunization Practices (ACIP) recommendations. Labor and Delivery Care Identify HBsAg status of all women presenting for delivery. If a woman’s HBsAg status is positive, HBIG and single antigen hepatitis B vaccine should be administered to her infant within 12 hours of birth. If a woman’s HBsAg status is unknown, single antigen hepatitis B vaccine should be administered to her infant within 12 hours of birth. Administration of HBIG should be determined per ACIP recommendations (see https://www.cdc.gov/mmwr/volumes/67/rr/rr6701a1.htm). Infants weighing <2,000 grams should receive HBIG if the mother’s HBsAg status cannot be determined within 12 hours of birth. Provide the birth dose of hepatitis B vaccine to all other newborns within 24 hours of birth to prevent horizontal hepatitis B virus transmission from household or other close contacts.",COUGH_FAQ_BANK,"Yes. Hepatitis B vaccination of all infants, especially those exposed to hepatitis B virus, should occur according to the Advisory Committee on Immunization Practices (ACIP) recommendations. Labor and Delivery Care Identify HBsAg status of all women presenting for delivery. If a woman’s HBsAg status is positive, HBIG and single antigen hepatitis B vaccine should be administered to her infant within 12 hours of birth. If a woman’s HBsAg status is unknown, single antigen hepatitis B vaccine should be administered to her infant within 12 hours of birth. Administration of HBIG should be determined per ACIP recommendations (see https://www.cdc.gov/mmwr/volumes/67/rr/rr6701a1.htm). Infants weighing <2,000 grams should receive HBIG if the mother’s HBsAg status cannot be determined within 12 hours of birth. Provide the birth dose of hepatitis B vaccine to all other newborns within 24 hours of birth to prevent horizontal hepatitis B virus transmission from household or other close contacts.",vaccination
Does C-C chemokine receptor type 5 (CCR5) affect the transmission of HIV-1?,Genetic variants in CCR5 have been shown to influence vertical transmission of HIV-1. CCR5 promoter variants resulting in higher expression of the receptor were associated with increased risk of MTCT of HIV-1 among sub-Saharan Africans,COVID-QA_MASTER,"Functional Genetic Variants in DC-SIGNR Are Associated with Mother-to-Child Transmission of HIV-1 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752805/ Boily-Larouche, Geneviève; Iscache, Anne-Laure; Zijenah, Lynn S.; Humphrey, Jean H.; Mouland, Andrew J.; Ward, Brian J.; Roger, Michel 2009-10-07 DOI:10.1371/journal.pone.0007211 License:cc-by Abstract: BACKGROUND: Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. Given that the C-type lectin receptor, dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or l",transmission
How can the study of B-cells help in the prevention and treatment of autoimmune diseases?,The study of autoantigen-specific B cells and a detailed analysis of B cell subsets with pathogenic potential in humans could lead to a better understanding of how to prevent and treat autoimmune diseases.,COVID-QA_MASTER,"Techniques to Study Antigen-Specific B Cell Responses https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6667631/ SHA: ee632fa425607e8ff91fc3730bc0782d43ce9c0c Authors: Boonyaratanakornkit, Jim; Taylor, Justin J. Date: 2019-07-24 DOI: 10.3389/fimmu.2019.01694 License: cc-by Abstract: Antibodies against foreign antigens are a critical component of the overall immune response and can facilitate pathogen clearance during a primary infection and also protect against subsequent infections. Dysregulation of the antibody response can lead to an autoimmune disease, malignancy, or enhanced infection. Sin",prevention
How does air pollution affect the incidence of childhood pneumonia?,Indoor air pollution from use of solid or biomass fuels increases odds of pneumonia by 1.6 times; lack of measles vaccination by the end of the first year of age increases odds of pneumonia by 1.8 times,COVID-QA_MASTER,"Community-acquired pneumonia in children — a changing spectrum of disease https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5608782/ SHA: eecb946b106a94f26a79a964f0160e8e16f79f42 Authors: le Roux, David M.; Zar, Heather J. Date: 2017-09-21 DOI: 10.1007/s00247-017-3827-8 License: cc-by Abstract: Pneumonia remains the leading cause of death in children outside the neonatal period, despite advances in prevention and management. Over the last 20 years, there has been a substantial decrease in the incidence of childhood pneumonia and pneumonia-associated mortality. New conjugate vaccines against Hae",transmission
"15. Is there a vaccine, drug or treatment for COVID-19?","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care. Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19. The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. (See Basic protective measures against the new coronavirus).",COVID19_FAQ,"Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care. Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19. The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. (See Basic protective measures against the new coronavirus).",vaccination
14. Are there any medicines or therapies that can prevent or cure COVID-19?,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines.",COVID19_FAQ,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines.",prevention
